xmlstatsTeamId,Team_Abbr,Wins_20170402,Losses_20170402,Wins_20170403,Losses_20170403,Wins_20170404,Losses_20170404,Wins_20170405,Losses_20170405,Wins_20170406,Losses_20170406,Wins_20170407,Losses_20170407,Wins_20170408,Losses_20170408,Wins_20170409,Losses_20170409,Wins_20170410,Losses_20170410,Wins_20170411,Losses_20170411,Wins_20170412,Losses_20170412,Wins_20170413,Losses_20170413,Wins_20170414,Losses_20170414,Wins_20170415,Losses_20170415,Wins_20170416,Losses_20170416,Wins_20170417,Losses_20170417,Wins_20170418,Losses_20170418,Wins_20170419,Losses_20170419,Wins_20170420,Losses_20170420,Wins_20170421,Losses_20170421,Wins_20170422,Losses_20170422,Wins_20170423,Losses_20170423,Wins_20170424,Losses_20170424,Wins_20170425,Losses_20170425,Wins_20170426,Losses_20170426,Wins_20170427,Losses_20170427,Wins_20170428,Losses_20170428,Wins_20170429,Losses_20170429,Wins_20170430,Losses_20170430,Wins_20170501,Losses_20170501,Wins_20170502,Losses_20170502,Wins_20170503,Losses_20170503,Wins_20170504,Losses_20170504,Wins_20170505,Losses_20170505,Wins_20170506,Losses_20170506,Wins_20170507,Losses_20170507,Wins_20170508,Losses_20170508,Wins_20170509,Losses_20170509,Wins_20170510,Losses_20170510,Wins_20170511,Losses_20170511,Wins_20170512,Losses_20170512,Wins_20170513,Losses_20170513,Wins_20170514,Losses_20170514,Wins_20170515,Losses_20170515,Wins_20170516,Losses_20170516,Wins_20170517,Losses_20170517,Wins_20170518,Losses_20170518,Wins_20170519,Losses_20170519,Wins_20170520,Losses_20170520,Wins_20170521,Losses_20170521,Wins_20170522,Losses_20170522,Wins_20170523,Losses_20170523,Wins_20170524,Losses_20170524,Wins_20170525,Losses_20170525,Wins_20170526,Losses_20170526,Wins_20170527,Losses_20170527,Wins_20170528,Losses_20170528,Wins_20170529,Losses_20170529,Wins_20170530,Losses_20170530,Wins_20170531,Losses_20170531,Wins_20170601,Losses_20170601,Wins_20170602,Losses_20170602,Wins_20170603,Losses_20170603,Wins_20170604,Losses_20170604,Wins_20170605,Losses_20170605,Wins_20170606,Losses_20170606,Wins_20170607,Losses_20170607,Wins_20170608,Losses_20170608,Wins_20170609,Losses_20170609,Wins_20170610,Losses_20170610,Wins_20170611,Losses_20170611,Wins_20170612,Losses_20170612,Wins_20170613,Losses_20170613,Wins_20170614,Losses_20170614,Wins_20170615,Losses_20170615,Wins_20170616,Losses_20170616,Wins_20170617,Losses_20170617,Wins_20170618,Losses_20170618,Wins_20170619,Losses_20170619,Wins_20170620,Losses_20170620,Wins_20170621,Losses_20170621,Wins_20170622,Losses_20170622,Wins_20170623,Losses_20170623,Wins_20170624,Losses_20170624,Wins_20170625,Losses_20170625,Wins_20170626,Losses_20170626,Wins_20170627,Losses_20170627,Wins_20170628,Losses_20170628,Wins_20170629,Losses_20170629,Wins_20170630,Losses_20170630,Wins_20170701,Losses_20170701,Wins_20170702,Losses_20170702,Wins_20170703,Losses_20170703,Wins_20170704,Losses_20170704,Wins_20170705,Losses_20170705,Wins_20170706,Losses_20170706,Wins_20170707,Losses_20170707,Wins_20170708,Losses_20170708,Wins_20170709,Losses_20170709,Wins_20170710,Losses_20170710,Wins_20170711,Losses_20170711,Wins_20170712,Losses_20170712,Wins_20170713,Losses_20170713,Wins_20170714,Losses_20170714,Wins_20170715,Losses_20170715,Wins_20170716,Losses_20170716,Wins_20170717,Losses_20170717,Wins_20170718,Losses_20170718,Wins_20170719,Losses_20170719,Wins_20170720,Losses_20170720,Wins_20170721,Losses_20170721,Wins_20170722,Losses_20170722,Wins_20170723,Losses_20170723,Wins_20170724,Losses_20170724,Wins_20170725,Losses_20170725,Wins_20170726,Losses_20170726,Wins_20170727,Losses_20170727,Wins_20170728,Losses_20170728,Wins_20170729,Losses_20170729,Wins_20170730,Losses_20170730,Wins_20170731,Losses_20170731,Wins_20170801,Losses_20170801,Wins_20170802,Losses_20170802,Wins_20170803,Losses_20170803,Wins_20170804,Losses_20170804,Wins_20170805,Losses_20170805,Wins_20170806,Losses_20170806,Wins_20170807,Losses_20170807,Wins_20170808,Losses_20170808,Wins_20170809,Losses_20170809,Wins_20170810,Losses_20170810,Wins_20170811,Losses_20170811,Wins_20170812,Losses_20170812,Wins_20170813,Losses_20170813,Wins_20170814,Losses_20170814,Wins_20170815,Losses_20170815,Wins_20170816,Losses_20170816,Wins_20170817,Losses_20170817,Wins_20170818,Losses_20170818,Wins_20170819,Losses_20170819,Wins_20170820,Losses_20170820,Wins_20170821,Losses_20170821,Wins_20170822,Losses_20170822,Wins_20170823,Losses_20170823,Wins_20170824,Losses_20170824,Wins_20170825,Losses_20170825,Wins_20170826,Losses_20170826,Wins_20170827,Losses_20170827,Wins_20170828,Losses_20170828,Wins_20170829,Losses_20170829,Wins_20170830,Losses_20170830,Wins_20170831,Losses_20170831,Wins_20170901,Losses_20170901,Wins_20170902,Losses_20170902,Wins_20170903,Losses_20170903,Wins_20170904,Losses_20170904,Wins_20170905,Losses_20170905,Wins_20170906,Losses_20170906,Wins_20170907,Losses_20170907,Wins_20170908,Losses_20170908,Wins_20170909,Losses_20170909,Wins_20170910,Losses_20170910,Wins_20170911,Losses_20170911,Wins_20170912,Losses_20170912,Wins_20170913,Losses_20170913,Wins_20170914,Losses_20170914,Wins_20170915,Losses_20170915,Wins_20170916,Losses_20170916,Wins_20170917,Losses_20170917,Wins_20170918,Losses_20170918,Wins_20170919,Losses_20170919,Wins_20170920,Losses_20170920,Wins_20170921,Losses_20170921,Wins_20170922,Losses_20170922,Wins_20170923,Losses_20170923,Wins_20170924,Losses_20170924,Wins_20170925,Losses_20170925,Wins_20170926,Losses_20170926,Wins_20170927,Losses_20170927,Wins_20170928,Losses_20170928,Wins_20170929,Losses_20170929,Wins_20170930,Losses_20170930,Wins_20171001,Losses_20171001
houston-astros,HOU,0,0,1,0,2,0,3,0,3,1,3,2,3,3,4,3,4,4,5,4,6,4,6,4,7,4,8,4,8,4,9,4,9,5,10,5,11,5,12,5,12,6,13,6,13,6,14,6,14,7,14,8,15,8,15,9,16,9,17,9,18,9,19,9,19,10,20,10,20,11,21,11,21,11,22,11,23,11,24,11,25,11,25,11,26,12,27,12,28,12,29,12,29,12,29,13,29,14,29,15,30,15,31,15,31,16,32,16,33,16,34,16,35,16,36,16,37,16,38,16,38,16,39,16,40,16,41,16,42,16,42,17,42,18,43,18,43,19,44,19,44,20,44,21,44,22,45,22,45,22,45,23,46,23,46,24,47,24,48,24,49,24,50,24,50,25,51,25,52,25,52,25,52,26,53,26,54,26,54,27,55,27,56,27,56,27,57,27,58,27,58,28,59,28,59,29,60,29,60,29,60,29,60,29,60,29,61,29,61,30,62,30,62,31,63,31,63,32,63,32,64,32,65,32,65,33,66,33,67,33,67,34,67,34,68,34,68,35,68,36,69,36,69,37,69,38,69,39,70,39,70,40,71,40,71,40,71,41,71,42,71,43,71,44,71,45,72,45,72,46,73,46,74,46,74,47,75,47,76,47,76,48,76,48,76,49,77,49,77,50,78,50,78,51,79,51,79,51,79,52,79,53,80,53,80,53,82,53,83,53,84,53,85,53,86,53,86,53,86,54,86,56,86,57,86,57,87,57,87,58,88,58,89,58,90,58,91,58,91,58,92,58,93,58,93,59,94,59,95,59,95,60,96,60,97,60,98,60,99,60,100,60,100,61,101,61
kansas-city-royals,KCR,0,0,0,1,0,1,0,2,0,3,1,3,2,3,2,4,2,5,2,5,2,6,3,6,4,6,5,6,6,6,6,6,6,7,7,7,7,8,7,9,7,10,7,11,7,12,7,13,7,14,7,14,7,15,7,15,7,16,8,16,8,17,9,17,9,18,10,18,10,19,10,20,11,20,12,20,12,21,13,21,14,21,15,21,16,21,16,21,16,22,16,23,17,23,17,24,17,24,18,25,18,26,19,26,19,27,19,27,20,27,21,27,21,28,21,29,22,29,22,30,22,30,23,30,24,30,24,31,24,32,25,32,26,32,26,33,26,34,27,34,28,34,28,34,29,34,30,34,31,34,32,34,32,35,33,35,34,35,34,36,35,36,35,36,36,36,37,36,37,37,37,37,37,38,38,38,38,39,39,39,40,40,41,40,42,40,43,40,44,40,44,40,44,41,44,42,44,43,44,43,44,43,44,43,44,43,44,44,44,45,45,45,45,46,45,47,46,47,47,47,48,47,49,47,50,47,51,47,52,47,53,47,53,47,54,47,54,48,55,48,55,49,55,50,55,51,56,51,56,52,56,52,57,53,57,54,57,55,57,56,57,57,57,58,58,58,59,58,60,58,60,59,61,59,61,59,61,60,61,61,62,61,62,61,63,61,64,61,64,62,64,63,64,64,64,65,64,66,65,66,65,67,65,67,66,67,66,68,67,68,68,68,68,69,69,69,69,70,69,71,70,71,71,71,71,72,72,72,72,73,72,74,73,74,73,75,73,76,73,76,73,77,74,77,75,77,75,78,76,78,76,79,76,80,77,80,78,80,78,81,79,81,80,81,80,82
los-angeles-angels,LAA,0,0,0,1,1,1,2,1,2,2,3,2,4,2,5,2,5,2,6,2,6,3,6,4,6,5,6,6,6,7,6,8,7,8,7,9,7,10,7,11,8,11,8,12,9,12,10,12,11,12,12,12,13,12,13,13,14,13,14,13,15,13,15,14,15,15,15,16,16,16,16,17,16,18,17,18,17,19,17,20,18,20,18,21,19,21,20,21,21,21,22,21,22,21,22,22,22,23,23,23,24,23,25,23,25,24,25,25,25,26,26,26,26,27,26,28,27,28,28,28,28,29,28,30,29,30,29,31,29,31,30,31,30,32,31,32,32,32,32,33,33,33,33,34,34,34,35,34,35,35,35,36,36,36,36,37,36,37,37,37,37,38,38,38,38,39,39,39,40,39,41,39,41,40,42,40,42,41,42,42,43,42,43,43,43,44,43,45,44,45,44,45,44,46,44,47,45,47,45,47,45,47,45,47,45,47,45,48,45,49,46,49,46,49,46,50,47,50,47,50,47,51,48,51,49,51,49,51,49,52,49,53,49,54,50,54,51,54,51,55,51,55,52,55,53,55,54,55,55,55,55,56,55,57,55,58,56,58,57,58,58,58,59,58,60,58,61,58,61,58,61,59,62,59,62,59,62,60,63,60,64,60,64,61,65,61,65,62,65,63,65,64,66,64,66,65,67,65,68,65,69,65,69,65,69,66,70,66,70,67,71,67,72,67,72,68,72,68,72,69,72,70,73,70,73,70,73,71,74,71,74,72,75,72,76,72,76,73,76,73,76,74,76,75,76,76,76,77,76,78,77,78,77,79,78,79,78,80,78,81,79,81,79,82,80,82
los-angeles-dodgers,LAD,0,0,1,0,1,1,2,1,3,1,3,2,3,3,4,3,4,4,4,4,5,4,5,5,6,5,7,5,7,6,7,7,7,8,8,8,8,8,8,9,8,10,9,10,9,11,10,11,10,12,11,12,12,12,13,12,14,12,14,13,15,13,15,14,15,14,16,14,17,14,17,14,18,14,19,14,20,14,20,15,21,15,22,15,22,16,22,17,22,18,23,18,24,18,25,18,25,19,26,19,26,19,27,19,27,20,28,20,29,20,30,20,31,20,32,20,33,20,33,21,33,22,34,22,35,22,35,23,35,24,35,25,36,25,36,25,37,25,38,25,39,25,39,25,40,25,41,25,41,26,42,26,43,26,44,26,45,26,46,26,47,26,48,26,49,26,50,26,51,26,51,27,52,27,52,28,53,28,54,28,55,28,55,29,55,29,56,29,57,29,58,29,59,29,60,29,61,29,61,29,61,29,61,29,61,29,62,29,63,29,64,29,64,29,65,29,66,29,66,30,66,31,67,31,68,31,69,31,70,31,71,31,71,31,72,31,73,31,74,31,74,31,75,31,75,32,76,32,77,32,78,32,79,32,79,32,79,33,80,33,81,33,81,34,82,34,83,34,83,34,84,34,85,34,85,34,86,34,87,34,87,35,88,35,89,35,89,36,90,36,91,36,91,37,91,38,91,38,91,39,91,40,91,41,92,41,92,43,92,44,92,45,92,46,92,47,92,48,92,49,92,50,92,51,92,52,93,52,94,52,94,52,95,52,96,52,96,53,96,54,96,55,96,56,97,56,98,56,98,57,99,57,100,57,101,57,102,57,102,57,102,58,103,58,104,58
miami-marlins,MIA,0,0,0,1,0,1,0,2,1,2,2,2,3,2,3,3,3,3,4,3,4,4,4,5,5,5,6,5,7,5,7,6,8,6,8,7,8,7,8,8,9,8,10,8,10,8,10,8,10,9,10,10,10,11,10,12,11,12,11,13,11,14,12,14,12,15,12,16,12,17,13,17,13,18,13,19,13,20,13,20,13,21,13,22,14,22,14,23,14,24,14,25,14,26,14,27,15,27,15,28,15,28,16,28,16,29,16,29,17,29,17,30,18,30,19,30,20,30,21,30,21,31,22,31,23,31,24,31,24,32,24,33,25,33,26,33,27,33,27,34,27,35,27,35,28,35,29,35,29,35,30,35,30,36,30,37,31,37,31,38,32,38,32,39,33,39,33,40,34,40,34,40,35,40,35,41,35,42,35,43,35,44,36,44,36,45,37,45,38,45,38,46,39,46,40,46,41,46,41,46,41,46,41,46,41,46,41,47,41,48,41,49,42,49,42,50,42,51,42,51,43,51,44,51,44,52,45,52,45,53,46,53,47,53,48,53,49,53,49,54,49,55,50,55,51,55,51,55,51,56,51,57,52,57,52,58,53,58,53,59,53,60,54,60,55,60,56,60,57,60,57,61,58,61,58,61,59,61,59,62,60,62,60,62,62,62,62,63,63,63,64,63,65,63,66,63,66,64,66,65,66,66,66,67,66,68,67,68,67,69,67,70,67,71,67,72,67,73,68,73,68,74,68,75,68,75,68,76,68,77,68,78,68,79,69,79,69,80,70,80,71,80,72,80,72,80,72,81,73,81,73,82,74,82,74,83,74,84,75,84,76,84,77,84,77,85
milwaukee-brewers,MIL,0,0,0,1,0,2,1,2,1,3,2,3,2,4,2,5,2,5,3,5,4,5,5,5,6,5,6,6,7,6,8,6,8,7,8,8,9,8,9,9,9,10,9,11,10,11,11,11,12,11,12,11,12,12,12,13,13,13,14,13,14,14,14,14,15,14,15,15,15,16,16,16,16,16,17,16,18,16,18,17,19,17,20,17,21,17,21,18,22,18,23,18,24,18,25,18,25,18,25,19,25,19,25,20,25,21,25,22,25,23,26,23,27,23,27,24,27,25,28,25,29,25,29,26,29,27,30,27,30,28,31,28,32,28,32,29,33,29,33,30,33,31,33,31,34,32,35,32,36,32,37,32,37,33,38,33,38,34,38,35,39,35,40,35,40,36,40,37,41,37,41,37,41,38,41,39,42,39,43,39,44,39,44,40,45,40,46,40,47,40,48,40,49,40,49,41,50,41,50,41,50,41,50,41,50,41,51,41,52,41,52,42,52,43,52,44,52,45,52,46,52,47,53,47,53,48,53,48,54,48,54,49,54,50,55,50,55,51,55,52,55,52,56,52,56,53,57,53,58,53,59,53,59,54,59,55,59,56,59,57,59,58,59,59,60,59,61,59,61,59,62,59,63,59,63,59,63,60,64,60,65,60,65,61,66,61,66,62,66,62,66,63,67,63,68,63,68,63,68,64,69,64,70,64,71,64,71,65,72,65,72,66,72,67,72,68,72,68,73,68,74,68,75,68,75,69,76,69,77,69,77,69,78,69,78,70,79,70,80,70,81,70,81,71,81,72,81,73,82,73,82,74,82,74,83,74,83,75,84,75,85,75,85,76,86,76
minnesota-twins,MIN,0,0,1,0,1,0,2,0,3,0,4,0,4,1,5,1,5,1,5,2,5,3,6,3,6,4,7,4,7,5,7,6,7,7,7,7,7,8,8,8,8,9,8,10,9,10,10,10,10,11,10,11,11,11,11,11,12,11,12,11,13,11,14,11,14,12,15,12,15,13,15,14,15,14,16,14,16,14,17,14,18,14,19,14,19,15,19,15,19,16,19,16,20,17,21,17,21,17,22,18,23,18,24,18,25,18,25,18,25,19,26,19,26,20,26,21,26,22,26,23,27,23,28,23,28,24,29,24,29,24,29,25,29,26,30,26,31,26,32,26,32,27,32,28,33,28,33,29,34,29,34,30,34,32,34,33,34,33,35,33,36,33,36,34,37,34,38,34,39,34,39,35,39,36,40,36,40,37,40,38,41,39,41,40,42,40,43,40,43,41,44,41,45,41,45,42,45,43,45,43,45,43,45,43,45,43,45,44,46,44,46,45,47,45,47,46,48,46,48,46,48,47,49,47,49,48,49,49,49,50,49,51,49,51,50,51,50,52,50,53,50,53,50,54,51,54,51,55,52,55,52,56,53,56,54,56,55,56,56,56,57,56,58,56,58,57,59,57,59,57,59,58,59,58,60,59,61,59,62,59,63,59,64,60,65,60,65,61,65,62,66,62,66,63,67,63,67,63,68,63,69,63,70,63,70,64,71,64,71,65,71,66,71,67,72,67,73,67,74,67,74,68,74,69,74,69,75,69,76,69,77,69,77,70,77,71,78,71,78,72,78,73,78,74,79,74,80,74,81,74,82,74,82,74,83,74,83,75,83,76,84,76,84,77,85,77
new-york-mets,NYM,0,0,1,0,1,0,1,1,2,1,2,2,2,3,3,3,4,3,5,3,6,3,7,3,7,4,7,5,7,6,7,6,7,7,8,7,8,8,8,9,8,10,8,11,8,11,8,11,8,12,8,13,9,13,10,13,10,14,11,14,11,15,12,15,12,15,13,15,14,15,14,16,15,16,16,16,16,17,16,17,16,18,16,19,16,20,16,21,16,22,16,23,16,23,17,23,18,23,18,24,18,24,19,24,19,25,19,26,20,26,20,27,21,27,22,27,23,27,23,28,23,29,23,30,24,30,24,31,24,31,24,32,25,32,25,32,25,33,27,33,28,33,29,33,29,34,30,34,30,35,30,36,30,37,31,37,31,38,31,39,31,40,31,41,32,41,33,41,34,41,34,41,34,42,35,42,36,42,37,42,38,42,38,43,38,44,38,45,38,45,38,45,39,45,39,46,39,47,39,47,39,47,39,47,39,47,40,47,41,47,41,48,41,49,41,50,42,50,43,50,44,50,45,50,45,51,46,51,47,51,47,52,47,53,48,53,48,54,48,55,48,55,48,56,49,56,49,57,49,58,49,59,49,60,49,60,50,60,50,61,51,61,52,61,52,62,53,62,53,63,53,64,53,65,53,66,53,67,54,67,54,68,54,69,54,70,55,70,55,71,56,71,56,72,57,73,57,73,57,74,58,74,58,75,58,75,58,77,58,78,59,78,59,79,60,79,61,79,62,79,63,79,63,80,63,80,63,81,63,82,63,83,63,84,64,84,65,84,65,85,65,86,65,87,65,87,66,87,66,88,66,89,67,90,68,90,69,90,69,90,69,91,70,91,70,92
new-york-yankees,NYY,0,1,0,1,1,1,1,2,1,2,1,3,1,4,2,4,3,4,3,4,4,4,5,4,6,4,7,4,8,4,9,4,9,5,10,5,10,5,10,6,11,6,11,7,11,7,11,7,12,7,13,7,14,7,15,7,15,8,15,9,16,9,17,9,17,9,18,9,19,9,20,9,21,9,21,10,21,10,21,11,21,12,21,12,22,13,22,13,23,13,24,13,24,14,24,15,24,16,25,16,26,16,26,17,27,17,27,17,27,18,28,18,29,18,29,19,30,19,30,20,31,20,31,21,32,21,32,22,32,22,32,23,33,23,34,23,35,23,36,23,37,23,38,23,38,24,38,25,38,26,38,27,38,28,38,29,38,29,38,30,39,30,39,31,40,31,40,32,40,33,41,33,41,34,42,34,42,35,43,35,43,36,43,37,44,37,44,38,44,39,44,39,44,40,45,40,45,41,45,41,45,41,45,41,45,41,45,42,46,42,47,43,47,44,48,44,48,45,49,45,50,45,50,46,51,46,51,46,52,46,53,46,54,46,55,46,56,46,56,47,57,47,57,48,57,49,57,50,57,51,58,51,59,51,59,51,59,52,60,52,60,53,61,53,61,54,61,55,62,55,63,55,64,55,65,55,65,56,66,56,66,57,66,57,67,57,68,57,68,58,68,59,69,59,70,59,70,60,70,60,70,62,71,62,71,63,72,63,73,63,74,63,74,64,74,64,75,64,75,65,76,65,77,65,78,65,78,66,79,66,80,66,81,66,82,66,82,67,83,67,84,67,85,67,85,67,85,68,86,68,86,69,87,69,88,69,89,69,89,70,90,70,91,70,91,71
oakland-athletics,OAK,0,0,1,0,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,4,5,5,5,6,5,7,5,7,5,8,6,8,7,8,8,8,9,8,10,8,10,9,10,9,10,10,10,11,10,12,10,13,11,13,11,14,11,14,11,15,11,16,12,16,12,17,13,17,14,17,15,17,15,18,16,18,16,18,16,19,16,20,16,21,16,22,17,22,17,23,18,23,19,23,20,23,20,24,20,24,20,25,21,25,21,25,22,25,22,26,22,27,22,28,22,29,23,29,23,30,23,31,24,31,24,32,25,32,26,32,26,33,26,33,26,34,27,35,27,36,27,36,27,37,27,38,28,38,29,38,30,38,31,38,31,39,31,40,31,41,31,42,32,42,33,42,34,42,34,42,35,42,35,43,35,44,35,45,35,46,35,47,35,48,36,48,37,48,38,48,38,49,39,49,39,50,39,50,39,50,39,50,39,50,40,50,41,50,42,50,42,51,42,52,43,52,43,52,43,53,43,54,44,54,44,55,44,56,44,57,44,58,44,59,45,59,46,59,47,59,47,60,48,60,48,61,48,62,49,62,50,62,50,62,50,63,50,64,50,65,51,65,51,66,52,66,52,67,53,67,53,68,53,68,53,69,53,70,54,70,54,71,55,71,55,72,55,72,56,72,57,72,58,72,58,73,58,74,58,75,58,75,58,76,58,77,58,78,58,79,58,80,59,80,59,80,60,80,62,80,63,80,63,80,63,81,64,81,64,82,65,82,65,83,66,83,67,83,68,83,69,83,69,83,70,83,71,83,72,83,72,84,72,85,73,85,74,85,74,86,74,87,75,87
philadelphia-phillies,PHI,0,0,1,0,1,0,1,1,1,2,1,3,2,3,3,3,3,4,3,5,3,6,3,6,3,7,4,7,4,8,4,8,5,8,5,9,6,9,7,9,8,9,9,9,9,9,9,9,10,9,11,9,11,10,11,11,11,12,12,12,12,13,12,14,12,15,12,16,12,17,13,17,13,17,13,18,13,19,13,19,13,19,13,20,14,21,14,21,14,22,14,23,14,24,15,24,15,25,15,26,15,27,15,28,15,29,16,29,16,30,17,30,17,31,17,32,17,33,17,34,17,34,17,35,18,35,19,35,20,35,21,35,21,36,21,37,21,38,21,39,21,40,21,41,21,42,21,43,22,43,22,44,22,45,22,46,22,46,22,47,22,48,23,48,24,48,24,49,24,50,24,51,25,51,26,51,26,51,26,52,26,53,27,53,28,53,28,54,28,55,28,56,28,57,28,58,29,58,29,58,29,58,29,58,29,58,29,59,29,60,30,60,30,61,31,61,32,61,32,61,33,61,33,62,34,62,34,63,34,64,35,64,35,64,36,64,37,64,38,64,39,64,39,65,39,66,39,67,39,68,39,69,40,69,40,69,41,69,42,69,42,70,42,71,43,71,43,72,43,73,43,74,43,75,43,76,43,77,44,77,45,77,45,77,45,79,46,79,46,80,47,80,47,81,48,81,49,81,49,81,49,83,50,83,51,83,51,84,52,84,52,85,53,85,53,86,53,87,53,88,54,88,54,89,54,89,55,89,56,89,57,89,57,90,58,90,58,91,59,91,60,91,61,91,61,92,61,93,61,94,62,94,62,95,63,95,64,95,64,95,65,95,65,96,66,96
pittsburgh-pirates,PIT,0,0,0,1,0,1,0,2,0,2,1,2,2,2,3,2,3,3,3,4,3,5,3,6,4,6,5,6,6,6,6,7,6,8,6,9,6,9,7,9,7,10,8,10,8,11,8,12,9,12,9,12,10,12,11,12,11,13,11,14,12,14,12,15,12,16,13,16,14,16,14,17,14,18,14,19,14,20,14,21,14,22,15,22,16,22,16,22,16,23,17,23,18,23,18,24,19,24,20,24,20,25,20,26,21,26,22,26,22,27,23,27,23,28,24,28,24,29,24,30,24,30,25,30,25,31,26,31,26,31,26,32,26,33,26,34,26,35,27,35,28,35,29,35,30,35,30,36,30,36,30,37,31,37,31,38,32,38,33,38,33,39,33,40,34,40,35,40,35,41,35,41,35,42,36,42,37,42,37,43,37,44,37,45,37,46,38,46,39,46,40,46,40,47,41,47,42,47,42,47,42,47,42,47,42,47,43,47,43,48,44,48,45,48,46,48,47,48,48,48,49,48,49,49,49,50,50,50,50,51,50,52,50,52,50,53,50,54,51,54,51,54,51,55,51,56,52,56,53,56,53,57,54,57,55,57,56,57,56,58,57,58,58,58,58,59,58,60,58,60,58,61,58,62,58,63,58,64,59,64,60,64,60,65,60,66,61,66,61,67,61,68,62,68,63,68,63,69,63,70,63,71,63,71,63,72,64,72,65,72,66,72,67,72,67,73,67,74,67,75,67,76,67,77,68,77,68,78,68,79,68,79,68,80,68,81,68,82,68,83,68,84,69,84,69,84,69,85,70,85,71,85,71,85,72,85,73,85,73,86,73,87,74,87,75,87
san-diego-padres,SDP,0,0,0,1,1,1,1,2,1,3,2,3,3,3,3,4,4,4,4,5,5,5,5,5,5,6,5,7,5,8,5,9,5,10,6,10,7,10,8,10,8,11,8,12,8,13,8,14,9,14,9,15,9,16,10,16,11,16,11,16,12,16,12,17,12,18,12,19,12,20,12,20,13,20,13,21,13,22,13,23,14,23,14,24,14,25,15,25,15,26,15,27,15,28,15,29,15,30,16,30,16,30,16,31,17,31,18,31,18,32,18,33,19,33,20,33,21,33,22,33,22,33,23,33,23,34,23,35,23,35,23,36,23,37,23,38,24,38,24,39,24,40,25,40,26,40,27,40,27,40,27,41,28,41,28,42,28,43,28,44,29,44,29,44,30,44,31,44,31,45,31,45,31,46,32,46,33,46,33,47,33,48,34,48,34,48,35,48,36,48,36,49,37,49,38,49,38,50,38,50,38,50,38,50,38,50,38,51,39,51,40,51,40,52,40,53,40,54,41,54,42,54,42,55,43,55,43,56,43,57,44,57,45,57,46,57,47,57,47,58,47,58,48,58,48,59,48,59,48,60,49,60,49,61,49,62,50,62,50,63,50,64,51,64,51,65,51,66,52,66,53,66,54,66,54,67,54,68,55,68,55,69,55,69,56,69,56,70,57,70,57,71,57,72,57,73,57,74,58,74,59,74,59,74,59,75,61,75,62,75,62,76,62,77,62,78,63,78,64,78,65,78,65,79,65,79,65,80,65,81,65,81,65,82,65,83,66,83,67,83,68,83,68,84,69,84,69,85,70,85,70,86,70,87,70,88,70,89,70,89,70,90,71,90,71,91
san-francisco-giants,SFG,0,1,0,1,1,1,1,2,1,3,1,4,1,5,2,5,3,5,3,6,4,6,4,7,5,7,5,8,5,9,5,9,6,9,6,10,6,10,6,11,6,12,6,13,7,13,7,14,8,14,8,15,9,15,9,16,9,17,10,17,10,18,11,18,11,18,11,19,11,20,11,21,11,22,11,23,12,23,12,24,13,24,14,24,15,24,16,24,17,24,17,25,17,25,18,25,19,25,19,26,20,26,20,27,20,28,20,29,20,30,21,30,22,30,22,31,22,32,22,33,22,33,23,33,23,34,23,35,24,35,24,36,24,37,25,37,25,38,25,39,26,39,26,39,26,40,26,41,26,42,26,43,26,44,26,45,26,46,27,46,27,47,27,48,27,49,27,50,27,51,28,51,29,51,30,51,30,51,31,51,32,51,33,51,33,51,33,52,34,52,34,53,34,54,34,55,34,56,34,56,34,56,34,56,34,56,35,56,35,57,35,58,35,59,36,59,37,59,37,60,37,61,38,61,38,62,38,63,39,63,40,63,40,63,40,64,40,65,40,66,40,67,41,67,41,68,42,68,42,69,43,69,44,69,44,70,45,70,46,70,46,70,46,70,46,71,47,72,47,73,48,73,48,74,49,74,50,74,50,75,50,76,51,76,51,77,52,77,52,77,52,78,52,79,52,80,53,80,53,81,53,82,53,83,53,84,54,84,54,85,54,86,54,87,55,87,55,87,56,87,56,88,56,89,57,89,57,90,57,91,57,91,57,92,57,93,58,93,58,93,59,93,60,93,60,93,60,94,61,94,61,95,62,95,62,96,62,97,62,97,63,97,63,98,64,98
