Team,Abbr,Westgate_Current,BetOnline_Current,Westgate_Open,BetOnline_Open,OddsShark_Current,Oddshark_Open,ESPN,247Sports,CBS_SportsLine,2013_Wins,2014_Wins,2015_Wins,2016_Wins,2017_Wins,5Yr_Avg,Expert_Avg,Expert_Median,All_Avg,All_Median,PriorAlpha,PriorBeta,Beta_Estimate,80CI_Low,80CI_High,90CI_Low,90CI_High,95CI_Low,95CI_High,99CI_Low,99CI_High,Beta_Wins,80CI_Low_Wins,80CI_High_Wins,90CI_Low_Wins,90CI_High_Wins,95CI_Low_Wins,95CI_High_Wins,99CI_Low_Wins,99CI_High_Wins
Los Angeles Lakers,LAK,48.0,48.5,48.5,50.5,48.5,48.5,46,48.0,50.2,27,21,17,26,35,25.2,48.5,48.5,46.2,48.5,23.325430080107058,16.111379539867762,0.5913386597437476,0.4899359755466387,0.6905999684814501,0.46117466612040214,0.7163871996207647,0.4363406138718554,0.7377758973338394,0.3883482906489419,0.7765046024249034,48.5,40.2,56.6,37.8,58.7,35.8,60.5,31.8,63.7
Memphis Grizzlies,MEM,33.5,34.5,34.5,32.5,33.5,34.5,33,33.0,34.8,50,55,42,43,22,42.4,33.8,33.5,34.6,34.0,16.11137953986776,23.325430080107054,0.40859098624742196,0.30962584711190194,0.5097670440936632,0.28380350401961096,0.5388771982257817,0.2622988953456449,0.5641578943799013,0.222437007413826,0.6122535161169678,33.5,25.4,41.8,23.3,44.2,21.5,46.3,18.2,50.2
Miami Heat,MIA,43.5,42.5,41.5,41.5,42.0,41.5,43,41.5,43.0,54,37,48,41,44,44.8,42.2,42.0,42.5,42.3,21.26889048482727,20.25608617602597,0.5121891722525758,0.4131852271007001,0.611237511831873,0.3855393303951463,0.6380576446814059,0.3610057397992785,0.6614497424847349,0.316924196993985,0.7038660202639433,42.0,33.9,50.1,31.6,52.3,29.6,54.2,26.0,57.7
Milwaukee Bucks,MIL,48.5,47.5,46.5,45.5,48.0,46.5,47,47.5,41.6,15,41,33,42,44,35.0,46.5,47.0,45.4,46.8,23.038010295153043,17.155965113411842,0.5731269432479855,0.47301482822715224,0.6715252919962681,0.4446320468269229,0.6979130754235846,0.4201375546657525,0.7194328556276669,0.37238781482996136,0.759566636094314,47.0,38.8,55.1,36.5,57.2,34.5,59.0,30.5,62.3
Minnesota Timberwolves,MIN,41.5,41.5,44.5,42.5,42.5,44.5,45,45.0,43.6,40,16,29,31,47,32.6,43.4,43.6,42.3,43.1,21.96161684194633,19.342341438778416,0.5318900083875786,0.43220373948462304,0.6305137309067157,0.4043984870133602,0.6572404515593525,0.3810444027230694,0.6802244234610909,0.3377651291378158,0.7212330308948415,43.6,35.4,51.7,33.2,53.9,31.2,55.8,27.7,59.1
New Orleans Pelicans,NOP,45.5,45.5,45.5,42.5,45.5,45.5,45,46.0,46.9,34,45,30,34,48,38.2,45.3,45.5,44.6,45.5,22.63313595565878,18.156251920473522,0.5549996683806425,0.4551709229369861,0.65353350480982,0.4268950469314968,0.6800068090364971,0.40246611077396427,0.7019654930594945,0.35543079675032446,0.7449248821533679,45.5,37.3,53.6,35.0,55.8,33.0,57.6,29.1,61.1
New York Knicks,NYK,27.5,28.5,29.5,35.5,29.5,29.5,28,28.5,33.5,37,17,32,31,29,29.2,30.0,29.5,29.9,29.4,13.194502519344455,23.48174177171471,0.3597873244100098,0.2601579466140729,0.462452451130295,0.23510920683688477,0.4927809608719345,0.21463442047455752,0.5191658288919977,0.1775011300707596,0.56950735696938,29.5,21.3,37.9,19.3,40.4,17.6,42.6,14.6,46.7
Oklahoma City Thunder,OKC,48.5,48.5,50.5,47.5,48.5,50.5,49,48.5,48.2,59,45,55,47,48,50.8,48.9,48.5,49.1,48.5,23.325430080107058,16.111379539867762,0.5911921223304085,0.48955702883171803,0.6897749888661974,0.46150705067501047,0.71588327491916,0.4373758994493308,0.7378124107789856,0.38901712693046675,0.7786677168389344,48.5,40.1,56.6,37.8,58.7,35.9,60.5,31.9,63.9
Orlando Magic,ORL,30.5,30.5,31.5,30.5,31.0,31.5,30,31.0,32.1,23,25,35,29,25,27.4,31.0,31.0,30.6,30.8,14.302461412216713,23.529855871711366,0.37855048829240834,0.27911926791380043,0.4808231549852674,0.254044356554386,0.5106294623461641,0.23307703366601046,0.5363091931693182,0.19291843357011076,0.5862938549990169,31.0,22.9,39.4,20.8,41.9,19.1,44.0,15.8,48.1
Philadelphia 76ers,PHI,54.0,53.5,54.5,48.5,53.5,54.5,53,54.5,54.0,19,18,10,28,52,25.4,53.3,54.0,50.5,53.8,23.302669427687423,12.082865629171254,0.6581474480598931,0.5546397504915723,0.75763644329565,0.523757000248323,0.7820878705690173,0.496076658931772,0.802678806442531,0.4426421599996633,0.8390226200175095,54.0,45.5,62.1,42.9,64.1,40.7,65.8,36.3,68.8
Phoenix Suns,PHO,29.0,29.5,28.5,27.5,29.5,28.5,27,29.0,28.6,48,39,23,24,21,31.0,28.6,28.6,28.8,28.8,12.527284915526796,23.39010540171786,0.34869907063842387,0.2494441733727209,0.4521455216684807,0.22401296915713625,0.4834707473971047,0.2037053519530376,0.5095914162951756,0.16673115931575333,0.5603264723395265,28.6,20.5,37.1,18.4,39.6,16.7,41.8,13.7,45.9
Portland Trail Blazers,POR,42.0,42.5,41.5,41.5,42.0,41.5,43,42.0,41.1,54,51,44,41,49,47.8,41.9,42.0,42.5,42.0,21.26889048482727,20.25608617602597,0.512145466651698,0.4122891266127534,0.6109824483982977,0.3854351512506181,0.6381081947509613,0.362406838336862,0.6611213983309298,0.3175313911663191,0.7032287722873625,42.0,33.8,50.1,31.6,52.3,29.7,54.2,26.0,57.7
Sacramento Kings,SAC,26.0,25.5,25.5,27.5,26.0,25.5,24,25.5,25.7,28,29,33,32,27,29.8,25.7,25.5,26.1,25.6,10.250013547783633,22.710814331363736,0.3116215270373405,0.2117955857297258,0.41637737139669784,0.18795364458575997,0.44873704100891604,0.16834504733072214,0.476337295853548,0.13331921711579753,0.529350450765529,25.6,17.4,34.1,15.4,36.8,13.8,39.1,10.9,43.4
San Antonio Spurs,SAN,42.5,43.5,43.5,42.5,44.5,43.5,44,45.0,47.1,62,55,67,61,47,58.4,44.0,43.5,45.5,43.8,21.92161065820124,19.4018852951896,0.5306388469343747,0.43116915964234465,0.629215671836907,0.40332005929077713,0.6563362412534576,0.3799645040359919,0.6789856558520848,0.336269353739118,0.7192248428233767,43.5,35.4,51.6,33.1,53.8,31.2,55.7,27.6,59.0
Toronto Raptors,TOR,55.5,55.5,54.5,50.5,55.5,54.5,55,55.5,58.7,48,49,56,51,59,52.6,55.0,55.5,54.8,55.3,22.991583002072126,10.977963055043448,0.6769924161321912,0.5733172362410252,0.7764282924604591,0.5414496611582745,0.8005528418831696,0.5134233188310113,0.82009823222554,0.4584465440060196,0.8564589722289235,55.5,47.0,63.7,44.4,65.6,42.1,67.2,37.6,70.2
Utah Jazz,UTH,50.0,49.5,48.5,44.5,49.5,48.5,49,49.5,47.6,25,38,40,51,48,40.4,48.5,49.0,47.7,48.8,23.394205639529716,15.755281349071035,0.5977410638683626,0.49678079550348586,0.6967655542104897,0.46745780099482875,0.7225634544690916,0.44202163610850925,0.7440569404248576,0.3949901167012648,0.7834170384142206,49.0,40.7,57.1,38.3,59.3,36.2,61.0,32.4,64.2
Washington Wizards,WAS,46.0,45.5,44.5,44.5,44.5,44.5,44,44.5,39.3,44,46,41,49,43,44.6,44.1,44.5,44.2,44.5,22.301028024319784,18.7930011440897,0.5427966863461855,0.44314840354038604,0.6407562124694034,0.4150830715715183,0.6673973059259498,0.39055942397032095,0.6896848280369167,0.3450477511608339,0.7311825239924012,44.5,36.3,52.5,34.0,54.7,32.0,56.6,28.3,60.0
