Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
48,Thursday May 25,boxscore,LAD,,STL,W,7,3,,28-20,3,2.5,Maeda,Wacha,Ryu,3:03,N,47427,+
49,Friday May 26,boxscore,LAD,,CHC,W,4,0,,29-20,3,2.5,Wood,Arrieta,,2:49,N,45017,++
50,Saturday May 27,boxscore,LAD,,CHC,W,5,0,,30-20,3,1.5,McCarthy,Lackey,Stripling,2:41,D,48322,+++
51,Sunday May 28,boxscore,LAD,,CHC,W,9,4,,31-20,2,1.5,Fields,Lester,,3:28,D,47732,++++
52,Monday May 29,boxscore,LAD,@,STL,W,5,1,,32-20,2,0.5,Hill,Leake,,2:50,D,46241,+++++
53,Tuesday May 30,boxscore,LAD,@,STL,W,9,4,,33-20,1,up 0.5,Morrow,Wacha,,3:55,N,38466,++++++
54,Wednesday May 31,boxscore,LAD,@,STL,L,1,2,,33-21,1,up 0.5,Martinez,Stripling,Oh,2:19,N,40304,-
55,Thursday Jun 1,boxscore,LAD,@,STL,L,0,2,,33-22,3,0.5,Wainwright,McCarthy,Oh,3:07,D,40477,--
56,Friday Jun 2,boxscore,LAD,@,MIL,W,2,1,12,34-22,1,up 0.5,Jansen,Feliz,,3:57,N,30140,+
57,Saturday Jun 3,boxscore,LAD,@,MIL,W,10,8,,35-22,1,up 0.5,Morrow,Torres,Jansen,4:07,D,34354,++
58,Sunday Jun 4,boxscore,LAD,@,MIL,L,0,3,,35-23,2,0.5,Davies,Maeda,Knebel,3:12,D,30330,-
59,Monday Jun 5,boxscore,LAD,,WSN,L,2,4,,35-24,2,1.0,Gonzalez,Ryu,Perez,3:05,N,46289,--
60,Tuesday Jun 6,boxscore,LAD,,WSN,L,1,2,,35-25,2,2.0,Scherzer,McCarthy,Glover,2:57,N,44250,---
61,Wednesday Jun 7,boxscore,LAD,,WSN,W,2,1,,36-25,2,2.0,Kershaw,Strasburg,Jansen,2:45,D,43230,+
62,Friday Jun 9,boxscore,LAD,,CIN,W,7,2,,37-25,2,2.5,Hill,Garrett,Maeda,3:02,N,44036,++
63,Saturday Jun 10,boxscore,LAD,,CIN,W-wo,5,4,,38-25,2,2.5,Jansen,Storen,,3:04,N,43439,+++
64,Sunday Jun 11,boxscore,LAD,,CIN,W,9,7,,39-25,2,1.5,Avilan,Iglesias,Jansen,2:58,D,42674,++++
65,Tuesday Jun 13,boxscore,LAD,@,CLE,W,7,5,,40-25,1,Tied,Kershaw,Miller,Jansen,3:27,N,22171,+++++
66,Wednesday Jun 14,boxscore,LAD,@,CLE,W,6,4,,41-25,1,Tied,Fields,Miller,Jansen,3:35,N,21051,++++++
67,Thursday Jun 15,boxscore,LAD,@,CLE,L,5,12,,41-26,2,1.0,Tomlin,Hill,,3:32,D,23339,-
68,Friday Jun 16,boxscore,LAD,@,CIN,W,3,1,,42-26,2,1.0,Wood,Adleman,Jansen,2:45,N,35613,+
69,Saturday Jun 17,boxscore,LAD,@,CIN,W,10,2,,43-26,2,1.0,Ryu,Wojciechowski,,3:28,D,42431,++
70,Sunday Jun 18,boxscore,LAD,@,CIN,W,8,7,,44-26,2,1.0,Maeda,Arroyo,Jansen,3:20,D,27316,+++
71,Monday Jun 19,boxscore,LAD,,NYM,W,10,6,,45-26,2,0.5,Kershaw,Wheeler,,3:27,N,43266,++++
72,Tuesday Jun 20,boxscore,LAD,,NYM,W,12,0,,46-26,2,0.5,McCarthy,Gsellman,Stewart,3:01,N,47715,+++++
73,Wednesday Jun 21,boxscore,LAD,,NYM,W,8,2,,47-26,1,up 0.5,Hill,Pill,,3:12,N,42330,++++++
74,Thursday Jun 22,boxscore,LAD,,NYM,W,6,3,,48-26,1,up 1.5,Baez,Sewald,Jansen,3:33,N,45967,+++++++
75,Friday Jun 23,boxscore,LAD,,COL,W,6,1,,49-26,1,up 2.5,Wood,Freeland,,2:55,N,43787,++++++++
76,Saturday Jun 24,boxscore,LAD,,COL,W,4,0,,50-26,1,up 2.5,Kershaw,Chatwood,,3:18,N,50403,+++++++++
77,Sunday Jun 25,boxscore,LAD,,COL,W,12,6,,51-26,1,up 2.5,Baez,Ottavino,Jansen,4:19,D,41605,++++++++++
78,Monday Jun 26,boxscore,LAD,,LAA,L,0,4,,51-27,1,up 1.5,Nolasco,Hill,,2:53,N,43126,-
79,Tuesday Jun 27,boxscore,LAD,,LAA,W,4,0,,52-27,1,up 1.5,Maeda,Chavez,,2:30,N,47245,+
80,Wednesday Jun 28,boxscore,LAD,@,LAA,L-wo,2,3,,52-28,1,up 1.5,Bedrosian,Baez,,3:11,N,44669,-
81,Thursday Jun 29,boxscore,LAD,@,LAA,W,6,2,,53-28,1,up 2.5,Kershaw,Ramirez,Jansen,3:06,N,44807,+
82,Friday Jun 30,boxscore,LAD,@,SDP,W,10,4,,54-28,1,up 3.5,Wood,Richard,,3:27,N,39254,++
83,Saturday Jul 1,boxscore,LAD,@,SDP,W,8,0,,55-28,1,up 3.5,Hill,Overton,,2:59,N,40683,+++
84,Sunday Jul 2,boxscore,LAD,@,SDP,L,3,5,,55-29,1,up 2.5,Chacin,Maeda,Maurer,3:37,D,41604,-
85,Tuesday Jul 4,boxscore,LAD,,ARI,W,4,3,,56-29,1,up 3.5,Kershaw,Corbin,Jansen,3:26,N,53159,+
86,Wednesday Jul 5,boxscore,LAD,,ARI,W,1,0,,57-29,1,up 4.5,Wood,Godley,Jansen,2:56,N,40997,++
87,Thursday Jul 6,boxscore,LAD,,ARI,W-wo,5,4,,58-29,1,up 5.5,Fields,Rodney,,3:07,N,41999,+++
88,Friday Jul 7,boxscore,LAD,,KCR,W,4,1,,59-29,1,up 5.5,Maeda,Hammel,Jansen,2:59,N,48017,++++
89,Saturday Jul 8,boxscore,LAD,,KCR,W-wo,5,4,10,60-29,1,up 6.5,Stripling,Alexander,,3:43,D,45225,+++++
90,Sunday Jul 9,boxscore,LAD,,KCR,W,5,2,,61-29,1,up 7.5,Kershaw,Duffy,,2:16,D,41524,++++++
91,Friday Jul 14,boxscore,LAD,@,MIA,W,6,4,,62-29,1,up 8.5,Fields,Ramos,Jansen,3:00,N,21858,+++++++
92,Saturday Jul 15,boxscore,LAD,@,MIA,W,7,1,,63-29,1,up 9.5,Wood,Urena,,3:19,N,22609,++++++++
93,Sunday Jul 16,boxscore,LAD,@,MIA,W,3,2,,64-29,1,up10.5,Hill,O'Grady,Jansen,3:18,D,22119,+++++++++
94,Tuesday Jul 18,boxscore,LAD,@,CHW,W,1,0,,65-29,1,up10.5,Kershaw,Gonzalez,Jansen,3:21,N,23088,++++++++++
95,Wednesday Jul 19,boxscore,LAD,@,CHW,W,9,1,8,66-29,1,up11.0,Maeda,Rodon,,2:58,N,24907,+++++++++++
96,Thursday Jul 20,boxscore,LAD,,ATL,L,3,6,,66-30,1,up10.5,Foltynewicz,McCarthy,Johnson,2:49,N,45636,-
97,Friday Jul 21,boxscore,LAD,,ATL,L,3,12,,66-31,1,up 9.5,Garcia,Wood,,3:07,N,46083,--
98,Saturday Jul 22,boxscore,LAD,,ATL,W,6,2,,67-31,1,up10.5,Hill,Teheran,,2:51,N,47497,+
99,Sunday Jul 23,boxscore,LAD,,ATL,W-wo,5,4,10,68-31,1,up10.5,Morrow,Johnson,,3:05,D,44701,++
100,Monday Jul 24,boxscore,LAD,,MIN,W,6,4,,69-31,1,up11.5,Paredes,Rogers,Jansen,2:57,N,47754,+++
101,Tuesday Jul 25,boxscore,LAD,,MIN,W,6,2,,70-31,1,up12.5,Maeda,Berrios,Ravin,3:35,N,44403,++++
102,Wednesday Jul 26,boxscore,LAD,,MIN,W-wo,6,5,,71-31,1,up12.5,Jansen,Kintzler,,3:28,N,50941,+++++
103,Friday Jul 28,boxscore,LAD,,SFG,W,6,4,,72-31,1,up13.0,Wood,Kontos,Jansen,2:39,N,51426,++++++
104,Saturday Jul 29,boxscore,LAD,,SFG,W,2,1,,73-31,1,up13.0,Hill,Blach,Jansen,2:43,D,47792,+++++++
105,Sunday Jul 30,boxscore,LAD,,SFG,W-wo,3,2,11,74-31,1,up14.0,Baez,Suarez,,3:54,N,53495,++++++++
106,Tuesday Aug 1,boxscore,LAD,@,ATL,W,3,2,,75-31,1,up14.5,Maeda,Sims,Jansen,2:54,N,32174,+++++++++
107,Wednesday Aug 2,boxscore,LAD,@,ATL,L,3,5,,75-32,1,up14.0,Brothers,Baez,Vizcaino,2:55,N,28107,-
108,Thursday Aug 3,boxscore,LAD,@,ATL,W,7,4,,76-32,1,up14.0,Wood,Newcomb,,3:29,N,29680,+
109,Friday Aug 4,boxscore,LAD,@,NYM,W,6,0,,77-32,1,up14.0,Darvish,deGrom,,3:07,N,41187,++
110,Saturday Aug 5,boxscore,LAD,@,NYM,W,7,4,,78-32,1,up14.5,Morrow,Sewald,,3:18,D,40060,+++
111,Sunday Aug 6,boxscore,LAD,@,NYM,W,8,0,,79-32,1,up15.5,Ryu,Matz,,2:59,N,27077,++++
112,Tuesday Aug 8,boxscore,LAD,@,ARI,L,3,6,,79-33,1,up15.0,Hernandez,Watson,Rodney,2:59,N,24810,-
113,Wednesday Aug 9,boxscore,LAD,@,ARI,W,3,2,,80-33,1,up15.5,Wood,Greinke,Jansen,2:48,N,22670,+
114,Thursday Aug 10,boxscore,LAD,@,ARI,W,8,6,,81-33,1,up16.0,Darvish,Banda,Jansen,3:37,N,31396,++
115,Friday Aug 11,boxscore,LAD,,SDP,L,3,4,,81-34,1,up16.0,Torres,Stripling,Hand,2:59,N,52898,-
116,Saturday Aug 12,boxscore,LAD,,SDP,W,6,3,,82-34,1,up17.0,Watson,Stammen,Jansen,3:36,N,53230,+
117,Sunday Aug 13,boxscore,LAD,,SDP,W,6,4,,83-34,1,up18.0,Maeda,Perdomo,Jansen,2:36,D,46128,++
118,Tuesday Aug 15,boxscore,LAD,,CHW,W,6,1,,84-34,1,up18.5,Morrow,Minaya,,3:05,N,46385,+++
119,Wednesday Aug 16,boxscore,LAD,,CHW,W-wo,5,4,,85-34,1,up18.5,Stripling,Petricka,,2:59,N,52413,++++
120,Friday Aug 18,boxscore,LAD,@,DET,W,8,5,,86-34,1,up19.0,Hill,Zimmermann,,3:20,N,32841,+++++
121,Saturday Aug 19,boxscore,LAD,@,DET,W,3,0,,87-34,1,up20.0,Stripling,Fulmer,Jansen,2:57,D,37182,++++++
122,Sunday Aug 20,boxscore,LAD,@,DET,L,1,6,,87-35,1,up20.0,Verlander,Maeda,,2:33,D,30901,-
123,Monday Aug 21,boxscore,LAD,@,PIT,W,6,5,12,88-35,1,up20.5,Avilan,Neverauskas,Stripling,4:35,N,19094,+
124,Tuesday Aug 22,boxscore,LAD,@,PIT,W,8,5,,89-35,1,up21.0,Watson,Barbato,Jansen,3:24,N,17288,++
