,ABUNDANCE & DENSITY,,,,WOLF VITAL RATES,,,,MOOSE VITAL RATES,,,,PREDATION STATS,,,CLIMATE,,,,,,,,,,,,,,,,,Fir growth from McLaren and Peterson (1994),,,Fir growth (from A. Chouinard),,,
Year,wolf abundance,moose abundance,wolves/ 1000km2,moose/ km2,wolf population growth rate,wolf mortality rate,wolf recruitment rate,wolf inbreeding coefficient,moose population growth rate,moose recruitment rate,no. of old moose,ave age,kill rate (kills/wolf/month),ann predation rate,proportion of diet comprised of calves,North Atlantic Oscillation (Dec-Mar;  Station Based Index),North Atlantic Oscillation (Dec-Mar; PC Based NAO Index),July-Sept (temp),Apr-May (temp),Jan-Feb temp,may-aug (precip),snow depth,Growing degree days by Julian day 91 ,Growing degree days by Julian day 105 ,Growing degree days by Julian day 121,Growing degree days by Julian day 135 ,Growing degree days by Julian day 152 ,Growing degree days by Julian day 166 ,Jan-Mar (precip),Dec-Apr (precip),,year,west end,east end,averaged,west end,east end,average,
2006,30,450,55.1,0.83,-0.30,0.43,0.13,0.173,-0.144,0.059,--,--,0.506944444,0.203,0.14,-1.09,-0.88,17.2,9.7,-9.2,30.6,41.7,33,151,296,424,717,981,3.44,5.47,,--,--,--,--,--,--,--,
2007,21,385,38.6,0.71,0.10,0.10,0.19,0.233,0.688,0.05,--,--,0.695238095,0.228,0.14,2.79,1.23,16.1,7.1,-13.1,25.2,18.0,67,95,280,456,710,996,2.89,7.1,,--,--,--,--,--,--,--,
2008,23,650,42.3,1.19,0.04,0.26,0.30,0.261,-0.185,0.105,--,--,0.732931727,0.156,0.27,2.10,1.12,15.5,4.8,-13.4,33.2,36.3,5,45,163,266,489,737,3.37,7.51,,--,--,--,--,--,--,--,
2009,24,530,44.1,0.97,-0.21,0.42,0.21,0.285,-0.038,0.129,--,--,0.63875,0.174,-,-0.41,0.08,15.4,6.0,-14.2,29.7,58.3,20,59,160,303,514,704,1.33,9.24,,--,--,--,--,--,--,--,
2010,19,510,34.9,0.94,-0.16,0.26,0.11,0.309,0.010,0.119,--,--,0.438,0.103,0.15,-4.64,-2.57,16.2,9.3,-11.1,39.6,32.8,--,--,--,--,--,--,5.01,4.56,,--,--,--,--,--,--,--,
2011,16,515,29.4,0.95,,,,0.332,--,--,--,--,0.667933559,0.125,--,-1.57,-0.66,--,--,--,--,49.0,--,--,--,--,--,--,2.16,6.42,,--,--,--,--,--,--,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
