Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
46,Sunday May 20,boxscore,LAD,@,WSN,W,7,2,,20-26,4,5,Wood,Strasburg,Fields,3:08,D,40201,++++,
47,Monday May 21,boxscore,LAD,,COL,L,1,2,,20-27,4,5.5,Marquez,Baez,Davis,2:35,N,42805,-,
48,Tuesday May 22,boxscore,LAD,,COL,W,5,3,,21-27,4,4.5,Chargois,Shaw,Jansen,2:48,N,43719,+,
49,Wednesday May 23,boxscore,LAD,,COL,W,3,0,,22-27,4,3.5,Maeda,Freeland,Jansen,2:38,N,45884,++,
50,Friday May 25,boxscore,LAD,,SDP,W,4,1,,23-27,4,3.5,Stripling,Richard,Jansen,2:26,N,44612,+++,
51,Saturday May 26,boxscore,LAD,,SDP,L,5,7,,23-28,4,3.5,Stammen,Hudson,Hand,3:12,N,43920,-,
52,Sunday May 27,boxscore,LAD,,SDP,W,6,1,,24-28,4,3.5,Buehler,Cimber,,2:26,D,46650,+,
53,Monday May 28,boxscore,LAD,,PHI,W,5,4,,25-28,3,3.5,Garcia,Morgan,Jansen,3:32,N,39759,++,
54,Tuesday May 29,boxscore,LAD,,PHI,L,1,6,,25-29,3,4.5,Arrieta,Maeda,,3:26,N,40044,-,
55,Wednesday May 30,boxscore,LAD,,PHI,W,8,2,,26-29,3,3.5,Stripling,Eflin,,3:03,N,43302,+,
56,Thursday May 31,boxscore,LAD,,PHI,L,1,2,,26-30,3,4,Nola,Fields,Dominguez,2:40,D,40986,-,
57,Friday Jun 1,boxscore,LAD,@,COL,W,11,8,,27-30,3,3,Santana,Pounders,Jansen,3:36,N,42711,+,
58,Saturday Jun 2,boxscore,LAD,@,COL,W,12,4,,28-30,3,2.5,Baez,Shaw,,3:25,N,47703,++,
59,Sunday Jun 3,boxscore,LAD,@,COL,W,10,7,,29-30,3,2.5,Cingrani,Davis,Jansen,3:43,D,41851,+++,
60,Tuesday Jun 5,boxscore,LAD,@,PIT,W,5,0,,30-30,3,2,Stripling,Musgrove,,3:01,N,12879,++++,
61,Wednesday Jun 6,boxscore,LAD,@,PIT,L,9,11,,30-31,4,2,Brault,Hudson,Vazquez,3:48,N,14327,-,
62,Thursday Jun 7,boxscore,LAD,@,PIT,W,8,7,,31-31,3,1.5,Baez,Taillon,Jansen,3:37,D,19713,+,
63,Friday Jun 8,boxscore,LAD,,ATL,W,7,3,,32-31,2,1.5,Buehler,McCarthy,,2:52,N,47262,++,
64,Saturday Jun 9,boxscore,LAD,,ATL,L,3,5,,32-32,2,2.5,Sanchez,Wood,Vizcaino,3:11,N,52718,-,
65,Sunday Jun 10,boxscore,LAD,,ATL,W,7,2,,33-32,2,2.5,Stripling,Newcomb,,2:37,D,47711,+,
66,Tuesday Jun 12,boxscore,LAD,,TEX,W,12,5,,34-32,2,3,Paredes,Colon,Corcino,3:08,N,48233,++,
67,Wednesday Jun 13,boxscore,LAD,,TEX,W-wo,3,2,11,35-32,2,2,Liberatore,Chavez,,3:49,N,41303,+++,
68,Friday Jun 15,boxscore,LAD,,SFG,W,3,2,,36-32,2,2.5,Stripling,Holland,Jansen,2:53,N,53433,++++,
69,Saturday Jun 16,boxscore,LAD,,SFG,W,3,1,,37-32,2,1.5,Wood,Bumgarner,Jansen,2:50,N,53706,+++++,
70,Sunday Jun 17,boxscore,LAD,,SFG,L,1,4,,37-33,2,1.5,Stratton,Ferguson,,2:54,D,49541,-,
71,Tuesday Jun 19 (1),boxscore,LAD,@,CHC,W,4,3,,38-33,2,1.5,Paredes,Wilson,Jansen,3:46,D,39273,+,
72,Tuesday Jun 19 (2),boxscore,LAD,@,CHC,L-wo,1,2,10,38-34,2,1.5,Zastryzny,Stewart,,3:19,N,40409,-,
