Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
44,Thursday May 17,boxscore,BOS,,BAL,W,6,2,,30-14,1,up 0.5,Price,Gausman,,2:44,N,36615,++,
45,Friday May 18,boxscore,BOS,,BAL,L,4,7,,30-15,1,up 0.5,Cobb,Pomeranz,Brach,3:18,N,34935,-,
46,Saturday May 19,boxscore,BOS,,BAL,W,6,3,,31-15,1,up 0.5,Porcello,Bundy,Kimbrel,2:54,N,34195,+,
47,Sunday May 20,boxscore,BOS,,BAL,W,5,0,,32-15,1,up 0.5,Rodriguez,Hess,,3:25,D,35550,++,
48,Tuesday May 22,boxscore,BOS,@,TBR,W,4,2,,33-15,1,up 1.0,Sale,Faria,Kimbrel,2:55,N,10642,+++,
49,Wednesday May 23,boxscore,BOS,@,TBR,W,4,1,,34-15,1,up 2.0,Kelly,Colome,Kimbrel,3:10,N,10194,++++,
50,Thursday May 24,boxscore,BOS,@,TBR,L,3,6,,34-16,1,up 1.5,Snell,Porcello,Colome,2:58,N,12468,-,
51,Friday May 25,boxscore,BOS,,ATL,W,6,2,,35-16,1,up 1.5,Rodriguez,Teheran,,3:13,N,37008,+,
52,Saturday May 26,boxscore,BOS,,ATL,W,8,6,,36-16,1,up 2.5,Wright,Freeman,Kimbrel,3:29,D,36510,++,
53,Sunday May 27,boxscore,BOS,,ATL,L,1,7,,36-17,1,up 1.5,Foltynewicz,Sale,,2:53,D,36543,-,
54,Monday May 28,boxscore,BOS,,TOR,W,8,3,,37-17,1,up 2.5,Price,Sanchez,,2:54,D,34700,+,
55,Tuesday May 29,boxscore,BOS,,TOR,W,8,3,,38-17,1,up 2.5,Porcello,Estrada,Kimbrel,2:59,N,33380,++,
56,Wednesday May 30,boxscore,BOS,,TOR,W,6,4,,39-17,1,up 2.5,Rodriguez,Gaviglio,Kimbrel,2:52,D,33451,+++,
