Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
24,Thursday Apr 25,boxscore,TEX,@,SEA,L,2,14,,12-12,4,3.0,Gonzales,Hearn,,3:25,N,12644,----,
25,Friday Apr 26,boxscore,TEX,@,SEA,L-wo,4,5,11,12-13,4,4.0,Elias,Dowdy,,4:06,N,21721,-----,
26,Saturday Apr 27,boxscore,TEX,@,SEA,W,15,1,,13-13,3,3.0,Minor,Leake,,3:11,N,26493,+,
27,Sunday Apr 28,boxscore,TEX,@,SEA,W,14,1,,14-13,3,2.5,Lynn,Swanson,,3:10,D,21503,++,
28,Tuesday Apr 30,boxscore,TEX,,PIT,L,4,6,11,14-14,3,3.0,Crick,Chavez,Vazquez,4:14,N,18641,-,
29,Wednesday May 1,boxscore,TEX,,PIT,L,5,7,,14-15,3,3.0,Taillon,Miller,Vazquez,3:10,D,23562,--,
30,Friday May 3,boxscore,TEX,,TOR,L,0,1,12,14-16,3,3.0,Hudson,Jurado,Giles,4:00,N,26179,---,
31,Saturday May 4,boxscore,TEX,,TOR,W,8,5,,15-16,3,3.0,Lynn,Pannone,Kelley,2:59,N,31787,+,
32,Sunday May 5,boxscore,TEX,,TOR,W,10,2,,16-16,3,3.0,Dowdy,Buchholz,,2:50,D,30934,++,
33,Tuesday May 7,boxscore,TEX,@,PIT,L,4,5,,16-17,3,3.5,Feliz,Sampson,Vazquez,2:50,N,13032,-,
34,Wednesday May 8,boxscore,TEX,@,PIT,W,9,6,,17-17,3,3.5,Jurado,Lyons,Martin,3:18,D,13905,+,
35,Thursday May 9,boxscore,TEX,@,HOU,L,2,4,,17-18,3,4.5,Miley,Minor,Osuna,2:58,N,26657,-,
36,Friday May 10,boxscore,TEX,@,HOU,L,0,3,,17-19,3,5.5,Verlander,Lynn,Osuna,2:29,N,33023,--,
37,Saturday May 11,boxscore,TEX,@,HOU,L,4,11,,17-20,4,6.5,Cole,Smyly,,3:15,N,35849,---,
38,Sunday May 12,boxscore,TEX,@,HOU,L,5,15,,17-21,4,7.5,Martin,Sampson,,3:08,D,41027,----,
39,Tuesday May 14,boxscore,TEX,@,KCR,L,5,11,,17-22,4,9.0,Duffy,Miller,,3:24,N,19410,-----,
40,Wednesday May 15,boxscore,TEX,@,KCR,W,6,1,,18-22,4,9.0,Minor,Lopez,,3:24,N,14572,+,
41,Thursday May 16,boxscore,TEX,@,KCR,W,16,1,,19-22,3,8.5,Lynn,Bailey,,3:14,D,17469,++,
42,Friday May 17,boxscore,TEX,,STL,W,7,3,,20-22,2,8.5,Sampson,Mikolas,,2:59,N,34398,+++,
43,Saturday May 18,boxscore,TEX,,STL,L,2,8,,20-23,3,9.5,Hudson,Jurado,,3:14,D,30967,-,
44,Sunday May 19,boxscore,TEX,,STL,W-wo,5,4,10,21-23,2,8.5,Gomez,Hicks,,3:41,D,32112,+,
45,Monday May 20,boxscore,TEX,,SEA,W,10,9,,22-23,2,8.5,Minor,Leake,,2:53,N,18796,++,
46,Tuesday May 21,boxscore,TEX,,SEA,W,5,3,,23-23,2,8.5,Lynn,Milone,Kelley,2:56,N,19157,+++,
47,Wednesday May 22,boxscore,TEX,,SEA,W,2,1,,24-23,2,7.5,Sampson,Gonzales,Kelley,2:27,D,22400,++++,
48,Friday May 24,boxscore,TEX,@,LAA,W,4,3,,25-23,2,7.0,Smyly,Bedrosian,Kelley,3:13,N,43806,+++++,
49,Saturday May 25,boxscore,TEX,@,LAA,L-wo,2,3,,25-24,3,8.0,Robles,Kelley,,3:11,N,36392,-,
